date,close,volume,hold
2024-02-01,567.0,2.0,0.0
2024-02-08,554.5,1.0,1.0
2024-03-06,566.5,2.0,3.0
2024-03-07,566.0,1.0,3.0
2024-03-25,590.8,1.0,4.0
2024-04-01,594.5,6.0,7.0
2024-04-03,609.9,1.0,8.0
2024-04-08,609.9,2.0,9.0
2024-04-11,608.0,2.0,10.0
2024-04-16,622.2,2.0,10.0
2024-04-18,616.2,1.0,11.0
2024-04-19,613.0,7.0,11.0
2024-04-30,609.6,2.0,12.0
2024-05-08,585.8,4.0,16.0
2024-05-09,592.5,1.0,16.0
2024-05-10,589.7,4.0,16.0
2024-05-13,583.7,3.0,17.0
2024-05-14,594.3,2.0,19.0
2024-05-15,584.9,4.0,21.0
2024-05-16,581.7,9.0,23.0
2024-05-17,592.9,6.0,25.0
2024-05-21,591.0,1.0,24.0
2024-05-23,584.5,6.0,30.0
2024-05-24,586.1,10.0,31.0
2024-05-27,585.5,11.0,32.0
2024-05-28,593.0,4.0,33.0
2024-05-29,598.1,10.0,28.0
2024-05-30,593.0,4.0,27.0
2024-06-03,587.2,9.0,24.0
2024-06-04,564.9,3.0,26.0
2024-06-05,561.6,3.0,27.0
2024-06-06,561.8,1.0,28.0
2024-06-07,571.5,3.0,26.0
2024-06-11,581.1,10.0,27.0
2024-06-12,586.1,1.0,27.0
2024-06-13,586.6,8.0,30.0
2024-06-14,591.0,5.0,32.0
2024-06-17,583.2,14.0,33.0
2024-06-18,592.0,4.0,33.0
2024-06-19,598.2,6.0,36.0
2024-06-20,605.0,3.0,35.0
2024-06-21,604.0,2.0,33.0
2024-06-26,604.7,2.0,32.0
2024-06-28,606.5,5.0,29.0
2024-07-01,602.1,1.0,29.0
2024-07-02,614.1,4.0,29.0
2024-07-03,613.5,5.0,31.0
2024-07-04,611.5,2.0,31.0
2024-07-05,611.9,1.0,31.0
2024-07-08,615.1,1.0,31.0
2024-07-10,599.7,14.0,37.0
2024-07-11,603.0,6.0,36.0
2024-07-15,595.0,18.0,24.0
2024-07-16,592.3,7.0,25.0
2024-07-17,587.8,2.0,26.0
2024-07-19,588.0,5.0,26.0
2024-07-22,578.8,4.0,28.0
2024-07-23,578.5,2.0,30.0
2024-07-24,571.3,7.0,29.0
2024-07-25,572.0,3.0,30.0
2024-07-26,576.3,3.0,29.0
2024-07-29,570.9,5.0,28.0
2024-07-30,561.8,8.0,30.0
2024-07-31,557.6,5.0,29.0
2024-08-01,574.7,18.0,28.0
2024-08-02,566.9,6.0,29.0
2024-08-05,533.4,64.0,65.0
2024-08-06,535.7,61.0,61.0
2024-08-07,535.4,30.0,52.0
2024-08-08,543.0,22.0,43.0
2024-08-09,551.0,8.0,42.0
2024-08-12,555.5,13.0,45.0
2024-08-13,564.6,21.0,49.0
2024-08-14,558.6,6.0,51.0
2024-08-15,552.1,19.0,45.0
2024-08-16,560.0,13.0,49.0
2024-08-19,546.9,36.0,57.0
2024-08-20,538.6,19.0,61.0
2024-08-21,538.1,32.0,72.0
2024-08-22,530.3,19.0,72.0
2024-08-23,536.2,19.0,77.0
2024-08-26,550.1,19.0,84.0
2024-08-27,556.0,44.0,71.0
2024-08-28,545.4,29.0,79.0
2024-08-29,537.3,38.0,89.0
2024-08-30,542.2,27.0,102.0
2024-09-02,528.0,108.0,133.0
2024-09-03,534.8,24.0,133.0
2024-09-04,512.7,263.0,268.0
2024-09-05,509.5,147.0,302.0
2024-09-06,509.0,75.0,291.0
2024-09-09,501.8,49.0,296.0
2024-09-10,499.7,72.0,304.0
2024-09-11,494.0,403.0,463.0
2024-09-12,502.3,105.0,457.0
2024-09-13,505.1,40.0,445.0
2024-09-18,508.4,153.0,429.0
2024-09-19,514.2,85.0,387.0
2024-09-20,514.1,462.0,281.0
2024-09-23,515.3,71.0,275.0
2024-09-24,515.9,90.0,285.0
2024-09-25,516.5,158.0,305.0
2024-09-26,499.5,1054.0,606.0
2024-09-27,499.8,462.0,717.0
2024-09-30,515.5,528.0,738.0
2024-10-08,553.6,268.0,653.0
2024-10-09,542.4,1711.0,535.0
2024-10-10,542.9,1148.0,622.0
2024-10-11,550.7,734.0,655.0
2024-10-14,547.7,674.0,674.0
2024-10-15,531.5,590.0,684.0
2024-10-16,528.0,854.0,898.0
2024-10-17,523.4,591.0,989.0
2024-10-18,528.8,524.0,1071.0
2024-10-21,520.9,1233.0,1227.0
2024-10-22,526.0,1256.0,1286.0
2024-10-23,536.2,2499.0,1257.0
2024-10-24,534.3,2724.0,1389.0
2024-10-25,529.3,2380.0,1479.0
2024-10-28,517.9,3415.0,1780.0
2024-10-29,506.4,4506.0,2438.0
2024-10-30,510.2,3609.0,2683.0
2024-10-31,516.6,3736.0,2513.0
2024-11-01,526.5,2717.0,2683.0
2024-11-04,526.0,3595.0,2361.0
2024-11-05,530.3,3674.0,2359.0
2024-11-06,529.7,5099.0,2577.0
2024-11-07,537.7,6910.0,3106.0
2024-11-08,533.9,4209.0,3152.0
2024-11-11,529.2,4513.0,3367.0
2024-11-12,518.4,3896.0,3708.0
2024-11-13,520.2,4011.0,3958.0
2024-11-14,517.8,6468.0,4531.0
2024-11-15,515.9,6300.0,5344.0
2024-11-18,513.9,8339.0,6745.0
2024-11-19,527.2,12408.0,7519.0
2024-11-20,527.0,12141.0,7543.0
2024-11-21,526.7,11603.0,8473.0
2024-11-22,535.1,12713.0,8276.0
2024-11-25,536.4,13485.0,8105.0
2024-11-26,526.6,19361.0,8401.0
2024-11-27,527.0,18301.0,10219.0
2024-11-28,523.4,13611.0,9790.0
2024-11-29,527.2,14076.0,11069.0
2024-12-02,527.2,19638.0,12273.0
2024-12-03,527.3,20650.0,12267.0
2024-12-04,537.4,22318.0,13255.0
2024-12-05,526.0,25485.0,13719.0
2024-12-06,523.1,24285.0,14890.0
2024-12-09,522.6,26385.0,15984.0
