date,open,high,low,close,volume,hold,settle
2025-02-14,524.1,528.5,524.1,528.5,4,2,525.2
2025-02-17,527.8,527.8,526.9,526.9,3,1,527.5
2025-02-21,533.9,534.8,533.9,534.8,2,1,534.3
2025-02-27,510.0,514.8,510.0,514.8,2,3,512.4
2025-03-03,515.2,517.1,515.2,515.3,3,3,515.8
2025-03-04,506.9,506.9,503.2,503.2,3,4,504.4
2025-03-05,498.4,498.4,498.4,498.4,1,3,498.4
2025-03-06,493.6,493.6,493.6,493.6,1,4,493.6
2025-03-07,490.0,490.0,490.0,490.0,1,5,490.0
2025-03-10,497.0,501.1,497.0,500.4,3,6,499.5
2025-03-11,507.8,507.8,507.8,507.8,1,7,507.8
2025-03-12,489.8,494.1,487.4,487.4,21,8,490.6
2025-03-13,493.5,501.6,493.5,495.0,10,11,496.9
2025-03-14,491.3,495.0,491.1,491.1,5,12,492.5
2025-03-17,499.8,499.8,499.8,499.8,1,11,499.8
2025-03-19,500.2,502.4,500.2,502.4,2,10,501.3
2025-03-21,498.8,506.1,498.8,506.1,4,9,503.7
2025-03-25,510.8,512.0,510.8,511.7,14,18,510.9
2025-03-26,517.5,517.6,516.2,517.0,4,19,517.0
2025-03-27,520.6,520.6,514.0,514.5,5,19,517.8
2025-03-28,515.0,515.0,515.0,515.0,1,19,515.0
2025-04-02,524.1,524.1,524.1,524.1,1,18,524.1
2025-04-03,518.0,518.0,518.0,518.0,2,20,518.0
2025-04-08,449.0,475.8,449.0,473.5,21,20,458.2
2025-04-09,474.8,474.8,447.2,449.9,15,22,456.8
2025-04-10,445.8,478.1,445.0,469.0,11,25,456.7
2025-04-11,457.0,459.0,452.9,453.2,13,31,455.5
2025-04-14,455.6,461.5,455.6,459.8,3,31,458.9
2025-04-15,466.4,466.4,466.4,466.4,1,30,466.4
2025-04-16,463.6,463.6,463.6,463.6,2,32,463.6
2025-04-17,463.4,474.0,463.4,471.3,6,33,468.3
2025-04-18,470.8,488.9,470.8,476.8,4,31,478.8
2025-04-21,469.0,469.0,469.0,469.0,1,31,469.0
2025-04-22,468.8,468.8,465.5,465.5,4,29,467.9
2025-04-23,477.3,477.8,469.8,477.8,4,31,475.3
2025-04-24,470.9,472.7,467.0,467.0,5,33,470.0
2025-04-25,470.0,470.5,470.0,470.5,2,34,470.2
2025-04-28,470.5,470.5,470.5,470.5,1,34,470.5
2025-04-29,468.9,470.5,466.9,466.9,4,34,468.3
2025-04-30,453.2,455.7,450.7,450.7,5,35,453.5
2025-05-06,438.0,439.4,438.0,439.4,3,35,438.8
2025-05-07,445.3,447.8,445.3,446.9,3,37,446.6
2025-05-08,441.1,441.1,440.1,440.1,3,38,440.6
2025-05-09,447.1,447.1,447.1,447.1,1,37,447.1
2025-05-12,449.6,450.9,449.6,450.9,3,37,450.0
2025-05-13,461.6,461.6,454.0,456.5,7,39,458.6
2025-05-14,462.8,463.2,462.4,462.4,4,40,462.7
2025-05-15,464.4,464.4,450.4,450.4,7,38,456.5
2025-05-16,449.7,449.7,446.3,446.3,8,41,448.2
2025-05-19,450.7,450.7,450.7,450.7,1,42,450.7
2025-05-20,458.0,458.0,455.6,455.6,3,41,456.4
2025-05-21,462.0,462.0,462.0,462.0,1,41,462.0
2025-05-22,450.7,454.0,449.3,449.7,29,46,451.7
2025-05-23,447.6,448.0,446.1,447.5,5,46,447.2
2025-05-26,444.4,450.4,444.4,449.6,27,60,448.3
2025-05-27,447.8,448.3,444.0,445.6,13,60,446.3
2025-05-28,444.7,445.6,440.0,442.2,23,62,443.5
2025-05-29,449.0,451.5,446.0,450.8,15,67,449.1
2025-05-30,443.6,444.6,436.7,437.6,29,71,440.7
2025-06-03,452.3,452.9,447.2,448.4,9,73,449.0
2025-06-04,449.3,452.9,446.1,452.9,10,75,450.9
2025-06-05,454.8,455.1,448.9,449.4,11,77,450.7
2025-06-06,454.6,455.0,453.0,453.0,9,77,454.2
2025-06-09,459.4,461.0,459.4,461.0,2,78,460.2
2025-06-10,456.1,465.9,456.1,465.9,6,76,462.5
2025-06-11,461.8,464.2,461.8,462.9,7,80,462.8
2025-06-12,467.8,478.5,467.8,475.0,12,81,474.6
2025-06-13,474.3,509.5,474.3,491.7,39,89,502.6
2025-06-16,498.7,502.8,497.1,500.1,30,95,500.8
2025-06-17,496.3,500.5,486.1,493.6,13,100,494.6
2025-06-18,500.9,516.2,500.9,512.9,48,115,509.1
2025-06-19,516.7,518.9,504.0,514.8,46,113,513.0
2025-06-20,517.0,523.2,513.2,514.3,111,107,516.8
2025-06-23,509.7,534.9,509.7,522.9,30,111,524.2
2025-06-24,519.5,522.3,477.0,478.1,188,123,489.0
2025-06-25,480.3,488.0,473.0,483.7,168,161,481.0
2025-06-26,480.3,483.3,474.3,479.1,347,327,479.6
2025-06-27,478.9,482.2,478.0,478.3,712,718,480.4
2025-06-30,479.0,479.9,473.1,475.6,983,1287,476.9
2025-07-01,475.8,479.1,474.1,475.7,246,1311,475.0
2025-07-02,478.6,479.1,474.7,475.3,145,1315,476.5
2025-07-03,479.4,484.1,477.2,480.1,262,1286,480.4
2025-07-04,481.6,481.9,478.6,479.3,325,1320,480.5
2025-07-07,478.8,480.9,474.9,478.7,119,1327,478.5
2025-07-08,482.2,484.6,475.0,483.3,274,1237,477.5
2025-07-09,484.2,488.0,482.6,486.1,431,1119,485.4
2025-07-10,486.7,488.6,482.7,487.0,282,1009,484.1
2025-07-11,484.2,484.2,480.2,482.3,298,918,481.2
2025-07-14,483.8,496.8,483.8,492.8,685,1145,491.9
2025-07-15,492.5,493.1,481.8,483.8,1107,874,486.8
